,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-06-24,1272.150024,1276.449951,1257.099976,1262.400024,1255.512817,5150998.0
1,2019-06-25,1258.900024,1298.0,1254.25,1295.849976,1288.780273,6842363.0
2,2019-06-26,1291.0,1304.599976,1286.349976,1294.150024,1287.0896,5299942.0
3,2019-06-27,1293.150024,1296.900024,1271.0,1274.150024,1267.19873,11385972.0
4,2019-06-28,1277.099976,1282.849976,1248.650024,1253.099976,1246.26355,8659721.0
5,2019-07-01,1258.050049,1272.650024,1246.449951,1268.849976,1261.927612,6162080.0
6,2019-07-02,1273.949951,1281.0,1263.300049,1278.5,1271.525024,4638751.0
7,2019-07-03,1282.900024,1286.5,1275.050049,1282.550049,1275.5529789999998,4026032.0
8,2019-07-04,1281.400024,1291.0,1280.0,1284.0,1276.994995,4275148.0
9,2019-07-05,1285.099976,1290.5,1260.0,1263.349976,1256.457642,4995344.0
10,2019-07-08,1258.0,1268.099976,1248.199951,1252.050049,1245.21936,6404544.0
11,2019-07-09,1248.949951,1283.5,1245.5,1280.099976,1273.116211,8016757.0
12,2019-07-10,1280.050049,1289.349976,1268.699951,1278.849976,1271.873047,5494315.0
13,2019-07-11,1287.0,1289.800049,1279.300049,1281.550049,1274.55835,3935460.0
14,2019-07-12,1283.0,1300.0,1278.050049,1280.5,1273.514038,7174054.0
15,2019-07-15,1285.0,1289.5,1270.349976,1276.099976,1269.138062,4873164.0
16,2019-07-16,1279.949951,1294.900024,1277.050049,1293.0,1285.945923,4604019.0
17,2019-07-17,1294.300049,1297.0,1280.0,1281.849976,1274.856689,4334958.0
18,2019-07-18,1282.0,1286.400024,1258.0,1261.849976,1254.96582,5459896.0
19,2019-07-19,1268.199951,1272.949951,1242.699951,1249.0,1242.185913,7468515.0
20,2019-07-22,1251.0,1284.5,1227.300049,1280.5,1273.514038,13300153.0
21,2019-07-23,1285.0,1293.900024,1260.400024,1273.550049,1266.602051,9287951.0
22,2019-07-24,1273.5,1278.800049,1253.550049,1259.099976,1252.230835,6943982.0
23,2019-07-25,1264.0,1269.050049,1227.0,1231.5,1224.7813720000001,9968545.0
24,2019-07-26,1231.5,1242.5,1210.0,1213.800049,1207.1779789999998,9320481.0
25,2019-07-29,1216.900024,1222.0,1205.099976,1210.949951,1204.3435060000002,8058035.0
26,2019-07-30,1213.949951,1220.0,1175.949951,1180.900024,1174.45752,9533344.0
27,2019-07-31,1175.75,1185.0,1162.400024,1166.25,1159.887451,9705619.0
28,2019-08-01,1163.400024,1188.199951,1150.349976,1180.25,1173.811035,10344862.0
29,2019-08-02,1175.699951,1198.25,1162.099976,1184.349976,1184.349976,10865385.0
30,2019-08-05,1167.0,1167.0,1128.0,1143.349976,1143.349976,13897461.0
31,2019-08-06,1134.75,1149.599976,1122.0,1128.300049,1128.300049,13288909.0
32,2019-08-07,1126.5,1138.550049,1103.099976,1109.400024,1109.400024,11588879.0
33,2019-08-08,1108.349976,1158.0,1095.300049,1152.349976,1152.349976,14262936.0
34,2019-08-09,1161.849976,1175.5,1152.300049,1162.099976,1162.099976,10043949.0
35,2019-08-13,1233.150024,1302.800049,1226.0,1274.75,1274.75,47923444.0
36,2019-08-14,1304.0,1304.449951,1280.349976,1288.25,1288.25,14487137.0
37,2019-08-16,1291.199951,1291.800049,1273.0,1278.0,1278.0,10047496.0
38,2019-08-19,1281.050049,1296.800049,1280.0,1292.599976,1292.599976,7459859.0
39,2019-08-20,1289.800049,1292.599976,1272.599976,1275.949951,1275.949951,6843460.0
40,2019-08-21,1275.650024,1278.650024,1266.5,1270.949951,1270.949951,4881553.0
41,2019-08-22,1270.949951,1271.0,1238.900024,1246.75,1246.75,6414937.0
42,2019-08-23,1239.0,1284.0,1226.5,1275.849976,1275.849976,9741262.0
43,2019-08-26,1294.0,1294.0,1259.0,1266.800049,1266.800049,8778739.0
44,2019-08-27,1285.0,1285.0,1261.199951,1274.849976,1274.849976,12984396.0
45,2019-08-28,1273.75,1281.0,1256.050049,1263.300049,1263.300049,5305639.0
46,2019-08-29,1256.449951,1260.25,1235.300049,1241.75,1241.75,8635974.0
47,2019-08-30,1245.5,1254.400024,1221.0,1248.550049,1248.550049,11308120.0
48,2019-09-03,1242.25,1243.0,1200.0,1206.400024,1206.400024,8563009.0
49,2019-09-04,1200.550049,1205.25,1186.050049,1201.150024,1201.150024,15063355.0
50,2019-09-05,1206.800049,1213.199951,1193.300049,1198.599976,1198.599976,10512763.0
51,2019-09-06,1203.0,1229.0,1195.25,1222.5,1222.5,10600234.0
52,2019-09-09,1220.650024,1233.0,1213.150024,1222.199951,1222.199951,5370758.0
53,2019-09-11,1222.5,1240.0,1222.5,1234.400024,1234.400024,5544468.0
54,2019-09-12,1235.0,1240.449951,1205.699951,1210.349976,1210.349976,5431139.0
55,2019-09-13,1212.0,1228.5,1206.900024,1225.599976,1225.599976,5919260.0
56,2019-09-16,1189.0,1219.099976,1186.099976,1210.75,1210.75,9393731.0
57,2019-09-17,1211.0,1211.0,1193.5,1197.449951,1197.449951,7150435.0
58,2019-09-18,1204.949951,1216.300049,1197.199951,1205.699951,1205.699951,6827281.0
59,2019-09-19,1207.849976,1209.699951,1172.650024,1179.050049,1179.050049,6293454.0
60,2019-09-20,1187.949951,1269.900024,1174.300049,1254.349976,1254.349976,22019674.0
61,2019-09-23,1274.150024,1281.0,1235.0,1239.199951,1239.199951,9879751.0
62,2019-09-24,1243.599976,1298.800049,1242.75,1278.699951,1278.699951,15982067.0
63,2019-09-25,1284.0,1295.0,1268.849976,1279.550049,1279.550049,8316894.0
64,2019-09-26,1292.0,1298.800049,1283.5,1296.800049,1296.800049,8389212.0
65,2019-09-27,1292.5,1315.0,1284.0,1309.050049,1309.050049,8712980.0
66,2019-09-30,1310.0,1335.75,1305.550049,1332.25,1332.25,11549746.0
67,2019-10-01,1337.0,1342.0,1293.300049,1304.900024,1304.900024,8192597.0
68,2019-10-03,1286.0,1314.699951,1281.300049,1311.050049,1311.050049,6183107.0
69,2019-10-04,1319.900024,1328.599976,1303.849976,1308.099976,1308.099976,6853954.0
70,2019-10-07,1308.099976,1320.800049,1301.699951,1310.099976,1310.099976,4599818.0
71,2019-10-09,1308.699951,1329.949951,1292.5,1324.75,1324.75,8040938.0
72,2019-10-10,1325.0,1369.0,1321.0,1362.75,1362.75,16003744.0
73,2019-10-11,1363.699951,1365.599976,1336.550049,1352.599976,1352.599976,7587648.0
74,2019-10-14,1364.949951,1364.949951,1350.849976,1358.0,1358.0,6123412.0
75,2019-10-15,1362.5,1370.0,1354.300049,1364.150024,1364.150024,4422075.0
76,2019-10-16,1369.900024,1379.650024,1363.699951,1372.349976,1372.349976,8870701.0
77,2019-10-17,1375.0,1399.0,1372.0,1396.5,1396.5,7332464.0
78,2019-10-18,1404.0,1427.900024,1398.699951,1416.349976,1416.349976,12856410.0
79,2019-10-22,1425.0,1436.849976,1403.349976,1414.150024,1414.150024,12703054.0
80,2019-10-23,1416.300049,1425.949951,1383.150024,1392.400024,1392.400024,8432964.0
81,2019-10-24,1401.0,1441.400024,1386.550049,1436.449951,1436.449951,10351384.0
82,2019-10-25,1441.099976,1441.449951,1411.25,1431.199951,1431.199951,6190013.0
84,2019-10-29,1445.5,1480.0,1442.099976,1467.050049,1467.050049,11780494.0
85,2019-10-30,1480.0,1484.550049,1460.300049,1479.099976,1479.099976,7470723.0
86,2019-10-31,1484.0,1489.650024,1461.699951,1464.349976,1464.349976,8898168.0
87,2019-11-01,1455.0,1461.800049,1441.0,1456.900024,1456.900024,6356579.0
88,2019-11-04,1465.900024,1471.0,1445.099976,1457.650024,1457.650024,6429329.0
89,2019-11-05,1463.099976,1468.949951,1441.0,1447.300049,1447.300049,5799318.0
90,2019-11-06,1442.699951,1446.449951,1428.5,1434.900024,1434.900024,6686289.0
91,2019-11-07,1435.0,1463.0,1432.199951,1458.599976,1458.599976,6438749.0
92,2019-11-08,1449.0,1459.650024,1441.300049,1445.5,1445.5,5494844.0
93,2019-11-11,1439.099976,1444.25,1422.550049,1427.800049,1427.800049,5192423.0
94,2019-11-13,1430.0,1475.900024,1430.0,1472.300049,1472.300049,11532364.0
95,2019-11-14,1476.0,1481.599976,1455.800049,1462.75,1462.75,6518339.0
96,2019-11-15,1465.650024,1486.800049,1463.150024,1470.849976,1470.849976,7173674.0
97,2019-11-18,1472.650024,1486.0,1455.400024,1459.199951,1459.199951,6435097.0
98,2019-11-19,1467.0,1514.900024,1465.0,1509.75,1509.75,13795569.0
99,2019-11-20,1555.050049,1572.400024,1543.199951,1547.650024,1547.650024,19904164.0
100,2019-11-21,1545.0,1556.0,1528.550049,1537.599976,1537.599976,6810577.0
101,2019-11-22,1542.099976,1569.5,1537.599976,1546.5,1546.5,10218978.0
102,2019-11-25,1551.150024,1564.800049,1551.0,1561.550049,1561.550049,6924313.0
103,2019-11-26,1568.099976,1576.349976,1556.0,1560.25,1560.25,16152137.0
104,2019-11-27,1559.949951,1575.5,1556.099976,1569.849976,1569.849976,4408336.0
105,2019-11-28,1572.650024,1584.150024,1563.949951,1580.300049,1580.300049,6284885.0
106,2019-11-29,1581.949951,1581.949951,1547.849976,1551.150024,1551.150024,8484822.0
107,2019-12-02,1600.0,1614.449951,1577.0,1586.5,1586.5,14275186.0
108,2019-12-03,1592.75,1594.0,1572.599976,1578.900024,1578.900024,5938786.0
109,2019-12-04,1573.0,1577.5,1533.75,1552.699951,1552.699951,9594828.0
110,2019-12-05,1574.0,1579.75,1544.0,1550.849976,1550.849976,9117022.0
111,2019-12-06,1553.0,1568.0,1541.099976,1554.900024,1554.900024,5982129.0
112,2019-12-09,1556.150024,1577.400024,1546.5,1572.599976,1572.599976,5779807.0
113,2019-12-10,1572.050049,1573.599976,1554.150024,1561.949951,1561.949951,4650906.0
114,2019-12-11,1555.599976,1574.5,1550.599976,1562.400024,1562.400024,5652698.0
115,2019-12-12,1570.25,1573.849976,1556.650024,1568.199951,1568.199951,4720977.0
116,2019-12-13,1580.0,1590.0,1572.400024,1582.900024,1582.900024,5791522.0
117,2019-12-16,1592.0,1593.900024,1564.349976,1566.599976,1566.599976,5436951.0
118,2019-12-17,1566.75,1579.0,1555.550049,1562.699951,1562.699951,9291724.0
